VoidID RA Dec Redshift Radius_Mpc AspectRatio Ellipticity Prolateness DensityContrast x_Mpc y_Mpc z_Mpc
27 185.124398 43.558813 0.147382 8.221409 2.791121 0.472452 0.440913 -0.401309 -650.829598 -58.364350 621.368682
28 213.269245 -21.210723 0.045914 7.835163 1.780176 0.280621 -0.436350 -0.493920 -218.960712 -143.662116 -101.634032
29 16.722149 41.134658 0.101584 8.350812 2.616370 0.446959 -0.631397 -0.457079 448.308472 134.687908 408.852006
30 218.716147 -67.817315 0.037734 22.163652 2.616073 0.446914 -0.921276 -0.665583 -68.010636 -54.518269 -213.775278
31 61.388685 11.101039 0.089146 12.519210 2.990739 0.498840 -0.956307 -0.363268 256.293715 469.855116 105.014206
32 23.418573 -32.682436 0.074951 6.938594 2.095017 0.353800 0.548971 -0.448832 354.168715 153.398818 -247.616158
33 341.598793 -49.364349 0.146081 31.303563 2.543820 0.435637 -0.731133 -0.517760 552.292888 -183.736309 -678.239107
34 347.627532 -57.789296 0.095194 17.593812 3.171552 0.520562 -0.064559 -0.373063 303.237748 -66.518403 -492.778530
35 291.023045 23.114978 0.058931 17.667347 2.011835 0.335953 0.211794 -0.534778 118.961573 -309.533313 141.544533
36 109.660957 -18.678049 0.025973 12.156466 1.644875 0.243821 -0.143296 -0.572410 -50.650239 141.764948 -50.891216
37 35.161961 26.713760 0.031175 5.117499 1.506887 0.202198 -0.945787 -0.609765 139.285783 98.116887 85.740696
38 246.323890 -60.375927 0.041544 36.040127 2.543976 0.435662 0.567003 -0.857605 -50.453417 -115.066422 -220.953124
39 158.454898 -21.679810 0.045135 10.214489 1.505631 0.201798 -0.978974 -0.589528 -238.683779 94.237150 -102.014259
40 43.933765 4.530087 0.129086 23.614041 2.109964 0.356906 0.523780 -0.448293 566.975247 546.256373 62.378646
41 178.263688 35.552334 0.088571 5.177705 2.433817 0.417558 0.786609 -0.390195 -440.677079 13.358530 315.084281
42 12.379868 -21.253501 0.083275 29.876267 2.332962 0.399933 -0.134320 -0.609802 463.798655 101.801915 -184.688501
43 327.355345 14.583031 0.026068 12.930252 2.429069 0.416751 0.071085 -0.701345 129.967100 -83.260222 40.156176
44 93.160793 50.529817 0.130420 7.073867 2.347807 0.402594 -0.046033 -0.540535 -27.967698 506.456758 615.970066
45 238.508022 13.398732 0.111194 7.439838 2.770438 0.469558 -0.221583 -0.335690 -345.706006 -564.318272 157.645456
46 112.215987 -32.281612 0.019474 12.400782 1.877965 0.305064 0.774849 -0.445330 -38.085111 93.250328 -63.632265
47 187.224488 -72.026333 0.109097 14.756189 1.988093 0.330677 0.787867 -0.512282 -204.335145 -25.902261 -634.904222
48 196.815701 47.748263 0.086095 13.103779 1.949828 0.321994 -0.328367 -0.424554 -339.036170 -102.462437 389.898963
49 66.547604 -73.228109 0.021442 18.262957 2.590968 0.443047 0.230140 -0.369050 15.065688 34.727584 -125.603558
50 349.050466 48.538720 0.074162 21.726436 2.619051 0.447369 0.853815 -0.589369 294.957844 -57.064429 340.033895
51 279.047816 3.317805 0.077857 10.946397 2.439381 0.418500 0.924117 -0.452527 74.784411 -469.633202 27.568331
52 338.219619 61.418249 0.033208 18.048632 2.732289 0.464136 0.017918 -0.511227 90.263051 -36.066797 178.416298
53 322.137846 36.695807 0.142398 17.144429 1.787675 0.282556 -0.094350 -0.282233 551.506609 -428.751418 520.611723
54 215.243992 84.789783 0.128997 8.022492 2.925781 0.490547 -0.442611 -0.640161 -58.533009 -41.357839 785.967519
55 331.874725 -17.372117 0.103663 5.191152 2.868187 0.482962 0.917744 -0.333589 533.828273 -285.340456 -189.367027
56 31.857301 32.301642 0.074721 8.764364 2.553140 0.437118 -0.714371 -0.449124 328.206657 203.951450 244.296313
57 70.553830 -11.311220 0.067647 34.600594 2.971611 0.496426 0.159659 -0.639329 135.112948 382.689457 -81.177639
58 16.281824 -2.306707 0.101136 34.806573 1.596242 0.229656 -0.434899 -0.763803 593.475738 173.340102 -24.904861
59 117.118919 14.774233 0.086360 5.300851 2.049112 0.344071 -0.441983 -0.407905 -232.889335 454.735340 134.740566
60 139.923824 48.361710 0.018718 16.704124 1.964770 0.325411 -0.190063 -0.445900 -58.224373 48.988112 85.588617
61 97.685651 75.504417 0.081750 32.497317 2.547483 0.436220 0.997586 -0.363682 -16.743235 124.069636 484.244395
62 298.345503 32.448874 0.122897 8.833832 1.838835 0.295486 -0.890067 -0.357535 301.258355 -558.434562 403.433346
63 128.431198 -9.466240 0.074294 8.471986 2.561889 0.438500 0.157084 -0.519526 -278.685575 351.220659 -74.757231
64 101.136423 -9.049401 0.017274 8.130753 2.807106 0.474667 -0.834856 -0.473684 -20.158636 102.404796 -16.622855
65 195.370590 28.370068 0.120079 18.105195 2.536973 0.434545 -0.690958 -0.576393 -623.310800 -171.344226 349.088529
66 50.732721 -31.496448 0.038191 46.164362 2.372392 0.406949 -0.120874 -0.991208 126.104005 154.248629 -122.074799
67 288.790913 -51.173839 0.046207 5.213418 1.863742 0.301613 0.020920 -0.435143 57.093000 -167.796814 -220.240881
68 26.838232 -16.903203 0.033059 18.964970 1.920151 0.315104 -0.482415 -0.466367 172.677724 87.370467 -58.808635
69 355.279297 -25.183710 0.056230 7.778770 2.758739 0.467907 -0.367086 -0.555211 310.271191 -25.621808 -146.391407
70 278.008117 -24.040592 0.115945 7.416139 2.570631 0.439875 -0.826066 -0.319313 90.253351 -641.526504 -288.988891
71 71.537645 -32.193786 0.082714 8.669497 2.243284 0.383341 -0.393560 -0.387917 135.620589 406.213994 -269.622005
72 1.987962 -66.321537 0.038683 16.042092 2.091728 0.353112 0.933117 -0.583844 94.991577 3.297197 -216.748508
73 293.566114 -74.633851 0.132896 17.921638 1.448568 0.183196 0.889415 -0.543369 86.141281 -197.487886 -784.021241
74 254.468644 77.276627 0.133141 8.854829 1.830550 0.293424 -0.330243 -0.278716 -48.039364 -172.856946 794.585482
75 262.442580 -8.305647 0.131881 5.910117 3.023459 0.502915 0.141708 -0.335746 -105.007062 -791.477735 -116.556247
76 277.657325 -13.376371 0.043431 5.331582 1.746709 0.271856 0.819191 -0.402437 34.446524 -256.209055 -61.474141
77 26.656075 21.056879 0.073174 30.748198 2.334683 0.400243 -0.987632 -0.681250 373.390986 187.437572 160.852994
78 129.047662 -34.297654 0.147899 25.661809 2.661869 0.453831 0.621367 -0.598957 -470.923063 580.553425 -509.889973
79 41.712861 64.147865 0.118082 5.344762 1.756922 0.274553 0.896739 -0.454624 235.162001 209.616411 650.148310
80 310.717233 34.938023 0.013803 7.088102 2.332776 0.399900 -0.817349 -0.631356 45.161667 -52.473348 48.365039
81 224.387326 -55.202890 0.019129 5.780499 2.634058 0.449651 -0.677105 -0.203587 -47.728209 -46.718238 -96.105022
82 119.123289 -9.487850 0.074950 21.910864 2.263891 0.387234 0.921493 -0.553576 -220.125067 395.108674 -75.588731
83 22.881006 49.308987 0.137291 9.011202 3.406253 0.546100 0.075080 -0.400297 504.554298 212.934999 636.899492
84 111.953636 62.805976 0.085418 7.479105 1.591452 0.228232 -0.971607 -0.430582 -89.289620 221.515482 464.840220
85 117.065996 -3.738163 0.079694 7.728674 2.682383 0.456873 -0.484736 -0.500798 -221.386460 433.260947 -31.788963
86 262.658224 13.110087 0.024766 12.800925 2.189771 0.372996 -0.100113 -0.496602 -18.858445 -146.366364 34.369462
87 229.520690 -41.753874 0.101949 46.097092 2.567659 0.439408 0.385818 -0.970910 -302.075328 -353.943493 -415.373191
88 319.396587 79.215300 0.125094 9.085029 2.435414 0.417829 0.466321 -0.213142 108.731495 -93.205397 751.836234
89 169.997373 -32.456328 0.063259 18.846066 1.965629 0.325607 0.990843 -0.661912 -321.612879 56.724232 -207.702657
90 43.053929 62.308620 0.118586 11.699521 2.350490 0.403072 -0.424978 -0.570192 246.367630 230.175448 642.432469
91 256.768123 17.415162 0.145027 5.260941 1.515731 0.205002 0.076440 -0.446635 -193.787587 -824.154870 265.564289
92 273.882618 12.443313 0.038527 13.062199 2.500190 0.428603 0.066647 -0.351814 15.586167 -229.652874 50.791062
93 202.059791 1.454152 0.083266 6.121642 2.378155 0.407961 -0.188709 -0.409766 -471.993143 -191.270802 12.928072
94 277.548185 -32.592491 0.050199 22.916955 2.514355 0.430906 -0.661676 -0.702783 33.991247 -256.521928 -165.438825
95 177.766415 -40.311582 0.121000 7.822935 2.682139 0.456837 0.954913 -0.302796 -564.078811 22.000866 -478.933561
96 188.183819 -33.988575 0.090863 5.138250 2.405939 0.412790 0.706634 -0.328282 -456.246267 -65.614568 -310.774425
97 153.914767 -38.838215 0.098842 31.238986 2.318127 0.397250 -0.003334 -0.608546 -423.059434 207.119494 -379.242655
98 9.150886 33.998344 0.121708 47.821495 1.906464 0.311879 0.206491 -0.756642 609.485816 98.179075 416.376999
99 38.840914 -17.442557 0.065436 12.116125 1.974003 0.327506 -0.545478 -0.231725 297.490658 239.538589 -120.004883
100 11.314507 -62.167299 0.138113 32.423555 2.733585 0.464322 0.087574 -0.455726 386.856812 77.403484 -747.248019
101 229.107748 69.752305 0.084624 6.964733 2.833426 0.478273 0.389940 -0.488319 -117.299356 -135.451088 485.753847
102 113.168153 50.136334 0.032114 5.550731 2.163647 0.367818 0.030334 -0.243119 -49.546860 115.779174 150.811211
103 183.085449 58.815522 0.107426 12.104862 2.277292 0.389740 0.980570 -0.432732 -339.829895 -18.317972 562.284175
104 326.723931 81.815848 0.121057 18.549523 1.897046 0.309642 0.222683 -0.485586 88.147809 -57.849600 733.107006
105 89.745202 -40.708397 0.054347 12.095048 2.727994 0.463518 -0.258053 -0.640178 1.120882 252.048664 -216.862471
106 147.737852 -11.976821 0.130005 7.228636 2.525058 0.432633 0.544304 -0.439325 -657.959570 415.336632 -165.057973
107 271.998410 31.096228 0.136860 47.637597 3.035378 0.504384 -0.659075 -0.907658 25.003552 -716.578234 432.466310
108 82.367340 23.081571 0.048767 8.981884 1.907562 0.312139 -0.230968 -0.357013 36.456796 272.047953 116.971242
109 27.712768 -43.805161 0.147693 8.621251 2.107688 0.356435 -0.306082 -0.329104 577.331893 303.270150 -625.491317
110 104.310523 39.173163 0.029700 8.276391 2.351470 0.403247 -0.136386 -0.640213 -34.819287 136.496758 114.779175
111 58.039663 -33.443805 0.038282 19.455365 2.517487 0.431412 0.563560 -0.546757 103.451755 165.812726 -129.082304
112 334.691155 -33.529398 0.035791 7.332398 2.172624 0.369607 -0.031654 -0.311138 165.021168 -78.036319 -120.956781
113 290.923337 4.240828 0.135159 32.586905 1.909707 0.312646 0.588029 -0.694537 294.503038 -770.285669 61.150439
114 228.025352 10.712435 0.101601 22.144164 2.611454 0.446206 0.152978 -0.498535 -408.492789 -454.081102 115.545965
115 313.725812 9.216904 0.031295 5.822346 2.547345 0.436198 -0.315861 -0.373107 130.634878 -136.578351 30.667738
116 289.321948 -54.788216 0.071645 7.065050 1.892382 0.308528 0.619957 -0.386484 83.628104 -238.511449 -358.136223
117 67.165221 49.018531 0.096142 46.489765 2.801068 0.473832 -0.523421 -0.842029 149.704059 355.527628 444.056723
118 321.321239 -27.956425 0.021685 19.101998 2.726971 0.463371 -0.551234 -0.662678 91.486494 -73.238838 -62.197225
119 194.163207 -47.814124 0.133538 21.125213 2.312610 0.396246 0.009006 -0.673405 -531.979391 -134.248052 -605.384303
120 290.678456 51.031894 0.122504 17.935932 2.290730 0.392232 -0.478302 -0.458424 166.446949 -440.990484 582.740094
121 322.592868 65.686042 0.080729 19.146805 2.480514 0.425372 -0.981826 -0.539522 161.539619 -123.538229 450.107983
122 114.481251 46.406927 0.145398 36.836313 1.914210 0.313708 0.296595 -0.732214 -254.186004 558.244302 644.278858
123 39.618693 38.245491 0.068487 11.491789 2.270904 0.388548 0.022188 -0.507307 253.492190 209.846317 259.383911
124 82.056659 18.088399 0.147775 7.128455 1.397938 0.165950 -0.108964 -0.451803 118.769091 851.192631 280.715290
125 153.758804 5.837921 0.103509 8.718066 2.609474 0.445903 0.933937 -0.332489 -565.076621 278.557015 64.414820
126 294.485316 -55.692699 0.098854 7.817821 1.634294 0.240783 0.142398 -0.461703 141.285153 -310.232649 -499.588858
127 309.863010 -10.550004 0.033234 33.997185 2.860259 0.481900 0.726863 -0.824078 128.122629 -153.434131 -37.228559
128 2.502767 -14.751245 0.133470 5.300410 2.126843 0.360377 -0.721100 -0.328639 788.929268 34.483568 -207.924414
129 183.869029 -28.717568 0.069849 6.132506 2.174225 0.369925 0.138413 -0.431813 -373.929872 -25.288923 -205.337660
130 150.267961 26.541136 0.032713 6.420770 2.007798 0.335062 0.735959 -0.411068 -155.479545 88.799231 89.432006
131 79.958812 -0.472611 0.011765 6.263614 2.143676 0.363802 0.166212 -0.251878 12.549916 70.876134 -0.593738
132 43.151532 -56.919819 0.088366 5.425269 2.826304 0.477302 0.436028 -0.406309 215.280927 201.819816 -453.007016
133 121.541462 -34.030462 0.083836 9.738572 1.263768 0.116517 -0.255913 -0.418467 -222.367244 362.281636 -287.050744
134 339.447493 21.501004 0.110710 22.073534 2.769678 0.469451 -0.815101 -0.688628 590.096528 -221.244629 248.258592
135 116.353056 -57.966518 0.134636 8.570441 2.394101 0.410742 -0.084199 -0.457671 -193.949243 391.513335 -698.309627
136 186.764624 44.620988 0.021117 7.021580 1.776083 0.279560 -0.211041 -0.359263 -91.318808 -10.831928 90.750346
137 253.086825 -0.556176 0.112410 7.073525 1.828766 0.292978 0.734120 -0.576273 -200.070968 -657.967117 -6.675907
138 130.906657 -2.225174 0.036238 10.161473 2.929449 0.491023 -0.512009 -0.431530 -145.072458 167.436914 -8.608293
139 349.841550 10.650380 0.130145 35.890412 1.880689 0.305722 0.933468 -0.698825 770.269475 -138.016761 147.160060
140 346.481026 40.493512 0.124669 13.920180 1.797551 0.285089 0.916276 -0.485073 563.984542 -135.598256 495.301391
141 90.641626 -17.720962 0.085711 5.507240 2.713817 0.461471 -0.504737 -0.301357 -5.593714 499.485005 -159.617386
142 179.009462 20.856725 0.109434 9.060792 2.394313 0.410779 -0.303896 -0.407164 -625.574473 10.816101 238.378054
143 108.316192 7.554195 0.054009 9.845546 1.883721 0.306452 0.791111 -0.300648 -102.942642 310.974979 43.440768
144 102.542578 -27.771298 0.075964 18.032704 2.345541 0.402189 0.933244 -0.629686 -89.304186 401.413238 -216.552321
145 13.279301 49.223235 0.125029 14.006915 1.848590 0.297898 -0.113122 -0.476477 486.244154 114.757784 579.269894
146 219.443160 36.502085 0.074297 5.688706 2.699220 0.459345 -0.358006 -0.398440 -282.178893 -232.140557 270.399326
147 180.964448 18.475775 0.060092 7.898162 2.683440 0.457029 0.052188 -0.535907 -348.655063 -5.869395 116.510964
148 18.532350 44.520423 0.079190 6.582803 2.471694 0.423912 0.375538 -0.320199 327.535130 109.797398 339.713518
149 100.312727 47.272448 0.125955 11.600911 2.403556 0.412379 -0.453051 -0.233542 -93.605473 514.428067 566.087730
150 326.975719 24.628055 0.056929 8.379113 2.963367 0.495379 0.472946 -0.435492 265.466804 -172.556148 145.147544
151 86.242281 42.378610 0.034327 19.101595 2.258766 0.386271 -0.896685 -0.490514 10.167595 154.807942 141.557465
152 52.162154 23.262414 0.109682 7.429473 1.786142 0.282161 -0.901411 -0.415843 378.181625 486.884398 265.029473
153 176.202994 21.117488 0.125637 12.271634 2.438681 0.418382 -0.227425 -0.544075 -715.478348 47.484471 276.938937
154 354.834163 13.722683 0.024089 11.889151 3.093310 0.511398 -0.293054 -0.650968 142.594600 -12.891401 34.962638
155 87.139898 30.360119 0.043582 8.119919 1.852988 0.298980 -0.368734 -0.501777 11.480407 229.793324 134.771902
156 241.968797 -43.062034 0.029876 5.401160 2.114306 0.357802 -0.017960 -0.543207 -62.761100 -117.881544 -124.805934
157 274.183062 49.617968 0.058712 36.596481 2.425470 0.416138 -0.358533 -0.545555 16.975830 -232.106238 273.626168
158 85.549516 48.046451 0.073049 6.248507 2.237329 0.382207 -0.615484 -0.423996 23.184999 297.884412 332.376213
159 262.157886 -70.305931 0.114836 16.921591 1.865970 0.302156 -0.381061 -0.553808 -32.305932 -234.556704 -661.491590
160 132.401928 40.664874 0.101161 11.854981 2.707634 0.460573 0.949809 -0.379634 -316.578938 346.674750 403.310649
161 227.630099 -47.924313 0.096930 44.597756 3.186908 0.522320 -0.177773 -0.908153 -267.814910 -293.604353 -440.188858
162 228.070696 -19.254348 0.059332 16.540836 2.337344 0.400721 -0.110574 -0.592095 -228.999044 -254.961149 -119.706631
163 192.878886 29.144674 0.127803 10.533925 1.897264 0.309694 0.153090 -0.448532 -665.746589 -152.218146 380.809868
164 32.504317 -42.724995 0.075980 37.895567 1.639307 0.242225 0.966682 -0.626079 288.001922 183.507969 -315.400413
165 300.708898 39.489296 0.147075 10.773597 2.362082 0.405130 -0.516797 -0.407567 354.634783 -597.061798 572.235302
166 115.480823 41.626220 0.098780 5.463447 2.700442 0.459524 0.362564 -0.379802 -194.348186 407.810655 401.454903
167 67.146664 0.855771 0.027677 30.810176 2.448958 0.420115 0.431969 -0.650290 65.757587 156.024387 2.529085
168 14.679051 -80.833025 0.104665 6.803156 2.257930 0.386113 0.214649 -0.378008 98.687653 25.851658 -632.183405
169 212.721460 -25.209147 0.055515 12.758224 2.023183 0.338446 -0.822843 -0.457417 -258.535213 -166.113430 -144.664970
170 243.923170 13.524070 0.106086 8.043067 1.822026 0.291289 0.353745 -0.533428 -277.398131 -566.820111 151.784145
171 5.971618 74.232515 0.019750 18.470252 2.592792 0.443330 -0.871811 -0.530095 32.656346 3.415966 116.286581
172 184.353501 15.285388 0.034483 25.250390 2.624400 0.448185 0.192285 -0.709873 -202.926236 -15.448671 55.619194
173 81.538479 -28.711062 0.129803 25.166162 1.640599 0.242596 0.479162 -0.593553 102.490151 688.942340 -381.510592
174 232.262205 15.545968 0.041805 35.575463 2.894827 0.486498 -0.578060 -0.753819 -150.818321 -194.870296 68.550016
175 62.771914 4.586885 0.127186 23.133074 2.488520 0.426691 0.683244 -0.327393 354.889499 689.708477 62.229215
176 248.737586 34.034417 0.049099 7.926614 2.818729 0.476266 -0.939292 -0.433256 -90.275105 -231.993228 168.128894
177 139.224725 -51.816850 0.100003 5.790327 1.722040 0.265257 0.687626 -0.548327 -286.422709 247.017841 -480.931942
178 337.222796 31.470252 0.107181 6.340606 1.712562 0.262690 -0.079342 -0.426824 515.686410 -216.533218 342.341605
179 49.507540 4.734187 0.081772 7.667821 2.199304 0.374864 -0.564824 -0.374742 323.758180 379.173152 41.291050
180 122.783886 67.817206 0.052743 30.209801 2.460005 0.421966 -0.732444 -0.484762 -65.971823 102.431484 298.811296
181 40.850468 -18.436634 0.039770 17.065736 2.977436 0.497163 0.906614 -0.579603 174.607174 150.985464 -76.952167
182 332.889703 15.381439 0.014647 16.170029 2.541323 0.435239 -0.854669 -0.669943 76.907978 -39.373244 23.768621
183 315.842167 59.775111 0.052552 19.015745 2.161819 0.367453 -0.601813 -0.458474 116.118858 -112.754500 277.817736
184 92.858986 -52.653418 0.101443 10.286509 1.848344 0.297838 -0.304355 -0.590925 -18.779429 376.038513 -493.403597
185 237.594257 60.980774 0.141363 9.896403 2.750892 0.466793 0.240470 -0.492580 -224.846654 -354.223143 756.306481
186 294.199992 22.072001 0.131969 14.393991 1.873009 0.303866 0.089602 -0.519702 306.720266 -682.483797 303.402460
187 199.872292 -59.805819 0.117249 14.500681 2.910279 0.488528 -0.748713 -0.501970 -339.297270 -122.638346 -620.028343
188 190.674208 -23.457759 0.120383 6.215978 2.145137 0.364098 -0.420544 -0.343243 -663.964129 -125.147795 -293.191259
189 87.066825 24.603994 0.103098 6.565035 2.895124 0.486538 -0.522496 -0.484014 29.346943 572.753634 262.619446
190 33.516996 -59.916841 0.046440 16.253920 2.530464 0.433502 -0.572914 -0.539912 118.740689 78.643412 -245.858049
191 322.997673 9.458949 0.137007 5.556087 2.204093 0.375798 -0.177711 -0.406988 660.325877 -497.633289 137.757121
192 324.150501 -17.952828 0.103903 5.291786 2.051133 0.344506 0.408063 -0.387958 490.181863 -354.174472 -195.943608
193 227.916525 13.994635 0.088462 15.491160 2.122528 0.359493 -0.565094 -0.495129 -351.970844 -389.759770 130.885604
194 122.050725 -65.301063 0.025539 14.478670 2.430218 0.416947 -0.266642 -0.451186 -34.646988 55.337695 -141.955751
195 125.715447 47.993903 0.072588 10.472983 2.289754 0.392052 -0.218165 -0.370346 -173.494120 241.305309 330.004569
196 261.344044 71.258524 0.074450 5.368757 2.021367 0.338048 0.952913 -0.364424 -22.026128 -144.685167 431.350303
197 322.959694 69.678010 0.131039 5.831126 2.192639 0.373559 0.909333 -0.362953 222.250309 -167.722880 751.821250
198 319.351113 29.953941 0.086531 31.155538 2.290322 0.392157 0.600275 -0.819778 348.021608 -298.806064 264.338151
199 280.755197 -47.716725 0.063256 13.248109 1.407398 0.169227 -0.516682 -0.477458 48.590668 -255.807814 -286.323740
200 231.131393 31.099536 0.146752 9.577610 2.442159 0.418969 -0.863925 -0.397825 -482.457645 -598.587111 463.768561
201 30.290387 -71.957339 0.025501 10.523712 1.867003 0.302407 -0.366192 -0.382343 41.726171 24.373416 -148.347751
202 58.186337 -72.892184 0.069157 22.528113 1.797558 0.285091 -0.466411 -0.644516 65.614522 105.769065 -404.394285
203 323.479508 -20.657420 0.015883 5.967444 1.583954 0.225992 0.011852 -0.475578 73.075696 -54.113627 -34.282541
204 218.314461 -1.301506 0.113587 7.767510 1.541334 0.213012 0.555456 -0.485085 -545.128519 -430.740015 -15.784760
205 3.310939 32.739125 0.138531 6.137356 1.716712 0.263816 0.716646 -0.357732 711.728455 41.174337 458.373290
206 36.529755 21.505513 0.049205 5.967861 1.975283 0.327795 0.689728 -0.306291 225.065555 166.720701 110.361441
207 238.860637 -6.211252 0.130168 6.965026 3.040195 0.504974 -0.280649 -0.460396 -409.415181 -677.642274 -86.165584
208 1.822170 -26.920044 0.050911 11.972774 2.048539 0.343948 0.374469 -0.378932 277.588786 8.831097 -141.022267
209 57.890899 83.852229 0.137508 8.661544 2.329991 0.399398 -0.374332 -0.424267 47.889879 76.316075 836.463878
210 197.544164 -8.490035 0.115555 25.174579 2.419084 0.415048 -0.878189 -0.614174 -666.715361 -210.779684 -104.377884
211 249.082271 -5.579451 0.122687 7.808213 2.311317 0.396011 0.403131 -0.449221 -266.723744 -697.832450 -72.980224
212 234.706053 -42.279850 0.012521 23.622721 2.227914 0.380405 -0.980345 -0.511566 -32.746954 -46.260545 -51.536630
213 80.736951 36.129983 0.144793 7.562916 1.780774 0.280776 -0.181635 -0.393071 115.173195 706.176206 522.330133
214 256.384520 22.790607 0.111734 20.178464 2.839262 0.479067 -0.341241 -0.324202 -148.361515 -612.528845 264.807021
215 85.409671 -33.949417 0.052665 29.393978 2.981770 0.497711 0.386755 -0.729162 21.391291 266.431321 -179.945359
216 117.143891 -56.640619 0.126115 24.754449 1.585828 0.226553 0.532491 -0.545734 -193.574341 377.563933 -644.469600
217 268.736906 21.161536 0.049413 49.456515 1.849280 0.298068 -0.391811 -0.897485 -6.214744 -281.864100 109.136767
218 233.867844 18.000327 0.132186 7.280328 2.146967 0.364467 0.623254 -0.509732 -453.532268 -621.215328 249.918592
219 305.720428 -26.967238 0.025761 7.132002 1.873076 0.303882 -0.412166 -0.422407 82.013603 -114.048179 -71.474426
220 236.740641 64.386027 0.108516 10.287927 2.461278 0.422179 -0.107347 -0.439144 -157.409356 -240.003663 598.678526
221 204.591097 -44.257500 0.085698 25.088441 1.967582 0.326051 0.454037 -0.309067 -341.462123 -156.269391 -365.912803
222 33.722916 -7.777726 0.023515 33.657027 3.124914 0.515141 0.385840 -0.704985 118.559429 79.137840 -19.469812
223 132.377689 62.527436 0.043865 45.228150 2.735111 0.464541 0.974737 -0.915299 -83.448666 91.459448 238.111966
224 95.472852 -9.238553 0.011737 24.715447 2.343921 0.401900 -0.549678 -0.569853 -6.759675 70.552280 -11.528251
225 87.836272 16.084331 0.075628 5.721795 2.669686 0.454994 0.324636 -0.614682 16.785689 444.275674 128.193374
226 350.283800 -11.818447 0.052177 19.482796 2.701252 0.459642 0.219364 -0.554024 307.981597 -52.733888 -65.382056
227 141.515181 -26.844432 0.093770 14.483984 2.033312 0.340655 0.830197 -0.493237 -400.686148 318.546854 -259.067809
228 321.136760 75.456050 0.051613 30.815958 1.932404 0.317966 -0.687276 -0.578700 61.746441 -49.757722 305.662030
